Question,Link,Date,Question Content,Tags,Answer ID,Answer Content,Lawyer ID,Is Best Answer
I filed for chapter 7 bankruptcy and I have a lease on a car will it affect me if I want to buy the car later,https://www.avvo.com/legal-answers/i-filed-for-chapter-7-bankruptcy-and-i-have-a-leas-6146117.html,"Asked in Calexico, CA | Dec 14, 2024",N/A,"Bankruptcy, Chapter 7 bankruptcy",,Getting another car will be determined by more factors than you can  list here. But you can start with properly make all the payments on time and the leasing company's policies. Good luck. THIS IS NOT LEGAL ADVICE!  YOU NEED TO SPEAK TO AN ATTORNEY WHO IS LICENSED IN YOUR STATE FOR LEGAL ADVICE. This is merely suggestions for you to think about in discussing your situation with the local attorney.,07013-nj-leonard-boyer-4501143.html,False
Can a state trial court order and judgment from extrinsic fraud on the court by officers of the court be used by a BK Trustee?,https://www.avvo.com/legal-answers/can-a-state-trial-court-order-and-judgment-from-ex-6145147.html,"Asked in Los Angeles, CA | Dec 12, 2024","A Chapter 7 Bankruptcy Court Trustee used a a state trial court default judgment and order (both secured through extrinsic fraud on the court by attorneys as officers of the court) against a party, to take a lawsuit away from that same party.  If that aggrieved party uses CA Civ. Code §473 (and his evidence) to prove the order and judgment against him from a state trial court action were secured by extrinsic fraud on the court by officers of the court to strip him of due process and a trial, and the state trial court agrees, can the bankruptcy Trustee's prior use of that corrupted state trial court order and judgment in a different state trial court to take away that aggrieved party's other state court lawsuit be invalidated or voided? I know federal courts have jurisdiction over state courts on federal matters (e.g., bankruptcy), but state courts are not always bound by federal courts except the U.S. Supreme Court. In other words, can corrupted state trial court orders and judgments determined to have been secured by extrinsic fraud on the court by officers of the court, undo a BK Trustee's use of them in Bankruptcy Court?","Bankruptcy, Debt, Bankruptcy and debt",,"That is a lot to unpack. I am not going to comment on the procedural issues (there are many), but on the bare question. If a state court judgment is overturned or voided, then it can't be enforced by anyone. However, when that happens, the underlying lawsuit is simply restarted if the plaintiff decides to continue the case.",80206-co-matthew-berkus-4232787.html,False
"If I file bankruptcy, would it affect a bank account that I’m listed as the joint owner?",https://www.avvo.com/legal-answers/if-i-file-bankruptcy-would-it-affect-a-bank-accoun-6144217.html,"Asked in Antioch, CA | Dec 11, 2024",I’m planning to file chapter 7 bankruptcy. I’m on a joint account with my grandmother. She only added me to her account because she needs me to be able to pull out money for her every month. All the deposits made onto the account are hers from her job and it can be proven with her paystubs. Will this affect her in any way? Would they still view it as my income even though it’s not? Should I remove myself as a joint owner before filing? I just don’t want anything to happen to her finances especially because it’s not mines.,"Bankruptcy, Chapter 7 bankruptcy",,"Yeah, this is one of those situations where things ""could"" work out after a lengthy investigation or litigation (costing you thousands of dollars in legal fees)...but it could also blow up in your face. As Johnny Cash sings, ""Walk away from trouble if you can.""  Get the most experienced bankruptcy lawyer you can find to represent you. Hope this perspective helps!",89104-nv-dorothy-bunce-2805621.html,False
"If I file bankruptcy, would it affect a bank account that I’m listed as the joint owner?",https://www.avvo.com/legal-answers/if-i-file-bankruptcy-would-it-affect-a-bank-accoun-6144217.html,"Asked in Antioch, CA | Dec 11, 2024",I’m planning to file chapter 7 bankruptcy. I’m on a joint account with my grandmother. She only added me to her account because she needs me to be able to pull out money for her every month. All the deposits made onto the account are hers from her job and it can be proven with her paystubs. Will this affect her in any way? Would they still view it as my income even though it’s not? Should I remove myself as a joint owner before filing? I just don’t want anything to happen to her finances especially because it’s not mines.,"Bankruptcy, Chapter 7 bankruptcy",,"The Trustee could take the money in the account since you are a co-owner.  Whether or not that happens depend on many factors, including, but not limited to, your exemption amounts and the amount of money in the account on your day of filing.  The income issue is easier to deal with should it be raised.  Producing her paystubs and the bank statements may clear up any income issue.   One other issue is the bank could freeze or offset money in the account in some circumstances.  If you have a debt with the bank, then you run the risk of an offset (especially if this is a credit union).  That will make grandma very mad.  So get with a lawyer to hash out the details of this account and other issues before you make an expensive mistake.",30344-ga-mario-adkins-471793.html,False
"If I file bankruptcy, would it affect a bank account that I’m listed as the joint owner?",https://www.avvo.com/legal-answers/if-i-file-bankruptcy-would-it-affect-a-bank-accoun-6144217.html,"Asked in Antioch, CA | Dec 11, 2024",I’m planning to file chapter 7 bankruptcy. I’m on a joint account with my grandmother. She only added me to her account because she needs me to be able to pull out money for her every month. All the deposits made onto the account are hers from her job and it can be proven with her paystubs. Will this affect her in any way? Would they still view it as my income even though it’s not? Should I remove myself as a joint owner before filing? I just don’t want anything to happen to her finances especially because it’s not mines.,"Bankruptcy, Chapter 7 bankruptcy",,This is definitely a situation when you want to meet with the lawyer and discuss this at once. Do not make any transfers until you speak with a lawyer.,02458-ma-richard-blumenthal-1330785.html,False
Is there ever an instance in which the judge in post judgment can order debtor to appear at office of opposing counsel for OEX?,https://www.avvo.com/legal-answers/is-there-ever-an-instance-in-which-the-judge-in-po-6143064.html,"Asked in Antioch, CA | Dec 9, 2024","I am the debtor in a litigation in which the judge recently made a minute order requiring me to appear at the opposing counsel's office for an OEX/Deposition. CCP 708.110(a) states, upon proper service, that the debtor is to appear at either the court or in front of an appointed referee. there is no referee appointed in this case. being ordered by the judge to appear in this manner is totally contrary to the statute, so this needs to be opposed/corrected/appealled etc. But, the question is how?","Bankruptcy, Debt, Wage garnishment, Bankruptcy and debt, Criminal defense, Appealing a criminal conviction, Constitutional law, Representing yourself, Appeals, Show 6 moreShow 6 less",,In California JDE are done  at the courthouse.,92069-ca-joel-selik-340112.html,False
Is there ever an instance in which the judge in post judgment can order debtor to appear at office of opposing counsel for OEX?,https://www.avvo.com/legal-answers/is-there-ever-an-instance-in-which-the-judge-in-po-6143064.html,"Asked in Antioch, CA | Dec 9, 2024","I am the debtor in a litigation in which the judge recently made a minute order requiring me to appear at the opposing counsel's office for an OEX/Deposition. CCP 708.110(a) states, upon proper service, that the debtor is to appear at either the court or in front of an appointed referee. there is no referee appointed in this case. being ordered by the judge to appear in this manner is totally contrary to the statute, so this needs to be opposed/corrected/appealled etc. But, the question is how?","Bankruptcy, Debt, Wage garnishment, Bankruptcy and debt, Criminal defense, Appealing a criminal conviction, Constitutional law, Representing yourself, Appeals, Show 6 moreShow 6 less",,"Under California Code of Civil Procedure (CCP) 708.110(a), a judgment debtor examination (OEX) is to be conducted in court or before a referee appointed by the court. If the judge has issued an order requiring you to appear at the opposing counsel’s office, this appears to deviate from the statutory requirements. Such an order can be challenged if it is inconsistent with the law.To address this issue, consider filing a motion to vacate or modify the order. In your motion, cite CCP 708.110(a) and emphasize that the statute mandates the examination be conducted in court or before a court-appointed referee. Include the minute order and any relevant documentation to demonstrate that the current order is not compliant. Request that the court revise its order to align with the statutory requirements.If the court denies your motion or refuses to correct the error, you may need to file an appeal or a writ of mandate to challenge the order. Consult with an attorney who specializes in post-judgment enforcement to ensure your rights are protected and your challenge is properly presented. Acting quickly and correctly will help ensure compliance with the law and prevent any undue burden from the incorrect order.",95827-ca-james-arrasmith-5150864.html,False
Is there ever an instance in which the judge in post judgment can order debtor to appear at office of opposing counsel for OEX?,https://www.avvo.com/legal-answers/is-there-ever-an-instance-in-which-the-judge-in-po-6143064.html,"Asked in Antioch, CA | Dec 9, 2024","I am the debtor in a litigation in which the judge recently made a minute order requiring me to appear at the opposing counsel's office for an OEX/Deposition. CCP 708.110(a) states, upon proper service, that the debtor is to appear at either the court or in front of an appointed referee. there is no referee appointed in this case. being ordered by the judge to appear in this manner is totally contrary to the statute, so this needs to be opposed/corrected/appealled etc. But, the question is how?","Bankruptcy, Debt, Wage garnishment, Bankruptcy and debt, Criminal defense, Appealing a criminal conviction, Constitutional law, Representing yourself, Appeals, Show 6 moreShow 6 less",,I am sure you're the judge would not make that order if he or she did not have the discretion to do so. You're going to have to be examined whether you like it or not and you may as well just show up and do what you have to do.,92691-ca-edna-straus-387788.html,False
Is there ever an instance in which the judge in post judgment can order debtor to appear at office of opposing counsel for OEX?,https://www.avvo.com/legal-answers/is-there-ever-an-instance-in-which-the-judge-in-po-6143064.html,"Asked in Antioch, CA | Dec 9, 2024","I am the debtor in a litigation in which the judge recently made a minute order requiring me to appear at the opposing counsel's office for an OEX/Deposition. CCP 708.110(a) states, upon proper service, that the debtor is to appear at either the court or in front of an appointed referee. there is no referee appointed in this case. being ordered by the judge to appear in this manner is totally contrary to the statute, so this needs to be opposed/corrected/appealled etc. But, the question is how?","Bankruptcy, Debt, Wage garnishment, Bankruptcy and debt, Criminal defense, Appealing a criminal conviction, Constitutional law, Representing yourself, Appeals, Show 6 moreShow 6 less",,Yes.  Judge may order Debtors Examination to be held at opposing counsel office.....................,90503-ca-james-shields-312867.html,False
"A friend is being evicted out of her home of 22 years by trustee, can her 21-yr old son file for extension?",https://www.avvo.com/legal-answers/a-friend-is-being-evicted-out-of-her-home-of-22-ye-6142843.html,"Asked in Carlsbad, CA | Dec 8, 2024","Hello my friend and her husband were getting divorced when he had a sports accident and been in coma 8 years ago, the divorce was finalized 2 months after his accident. She and her ex had decided to stay in the same house to raise her son together, and she's been paying $1K/mo to him even after his coma. the son has turned 21 and is trying to get the trust back, can he file extension for his mom to stay in the house?","Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"First, we can't give you advice to pass on to your friend.  That would constitute the crime of aiding and abetting the unauthorized practice of law. Your friend or her son should ask the question.  Second, I don't understand the scenario described.  Who has evicted whom?  What trustee? What trust?",27619-nc-derek-caldwell-1735223.html,False
How to determine not dischargable?,https://www.avvo.com/legal-answers/how-to-determine-not-dischargable--6142164.html,"Asked in Los Angeles, CA | Dec 7, 2024","Hi,I am listed as a creditor, sucked in debtor's scheme try to file adverse proceeding but not understand what is not dischargable since he obtained payment with false service that put me in bad situation.My English is very limited. Is 11 U.S.C Section 523 (a)(2)(A) of the United States Code, and/or 11 U.S.C §727 (a)(2)(A), §727 (a)(4)(C) apply to it?Also, do I put cause of action on cover page for adverse proceeding or legal complaint paper?Thanks,Amy","Bankruptcy, Bankruptcy petition, Bankruptcy adversary proceeding, Bankruptcy documents, Show 1 moreShow 1 less",,"You are in way over your head. You are not an experienced Bankruptcy attorney. You do not know what to put in a Bankruptcy petition, nor do you know the United State Bankruptcy Code, the Court rules, normal procedures and you would not know how to handle any objection to your petition. A  simple Chapter 7 Petition can easily be 50 pages and even more for a Chapter 13 Petition which also requires a Chapter 13 Plan and you are emotionally involved and facing experienced Bankruptcy attorneys who represent your creditors. If you do not want more problems than you can possibly imagine, you need to retain an experienced  CA   Bankruptcy attorney. THIS IS NOT LEGAL ADVICE!  YOU NEED TO SPEAK TO AN ATTORNEY WHO IS LICENSED IN YOUR STATE FOR LEGAL ADVICE. This is merely suggestions for you to think about in discussing your situation with the local attorney.",07013-nj-leonard-boyer-4501143.html,False
What to file after it closed?,https://www.avvo.com/legal-answers/what-to-file-after-it-closed--6142041.html,"Asked in Los Angeles, CA | Dec 6, 2024","Hi,Law are so weird to help the bad people. A guy filed bankruptcy as an individual, got discharged. On Nov. 7, he reopened it and listed me as creditor. I filed proof of claim, consulted a lot as to file and ask clerk. Now It's closed.He own an agency but did not provide service. It seems I can object it in order not to be discharged among his other bigger creditors under 11 U.S.C 523 (not sure which section apply).Should I file a motion to reopen it or file adverse proceeding directly in central district court near downtown(Temple) of Los Angeles?Thanks for help,Amy","Bankruptcy, Debt, Bankruptcy and debt",,"Depending on the amount of your claim, the expense of litigation, and the likelyhood of collecting it may not be worth it.  Also, it may be too late to file and Adversary Proceeding.  Get a consultation with a creditor's rights lawyer and see what your options are.  Beware the sunk cost falacy.",30344-ga-mario-adkins-471793.html,False
UK POA?,https://www.avvo.com/legal-answers/uk-poa--6141714.html,"Asked in Antelope, CA | Dec 6, 2024","Would a power of attorney from UK for bank accounts and finances be use and available in California, US?Thank you","Incorporation, Bankruptcy, Debt, Bankruptcy and debt, Real estate and bankruptcy, Real estate, Estates, Estate property, Power of attorney, Taxes and estate planning, Tax law, Show 8 moreShow 8 less",,"A Power of Attorney (POA) executed in the UK may be recognized in California, but certain steps are typically required to ensure its validity and enforceability. California law requires that a POA comply with state-specific requirements, including proper notarization and language granting authority to the agent. A foreign POA, such as one from the UK, must be authenticated and translated if not in English.To use a UK POA for bank accounts or finances in California, you may need to have it notarized in the UK and then apostilled under the Hague Apostille Convention. The apostille serves as an international certification of the document's validity. Afterward, present the POA to the relevant financial institution in California. Keep in mind that individual banks may have their own requirements or policies for accepting foreign POAs, so it is advisable to contact the bank in advance.If the UK POA does not meet California’s requirements, you may need to execute a new POA that conforms to California law. Consulting with an attorney familiar with cross-jurisdictional issues can ensure the POA is properly prepared and accepted. Acting proactively to address these legal and procedural requirements will help avoid complications and ensure smooth management of financial matters.",95827-ca-james-arrasmith-5150864.html,False
UK POA?,https://www.avvo.com/legal-answers/uk-poa--6141714.html,"Asked in Antelope, CA | Dec 6, 2024","Would a power of attorney from UK for bank accounts and finances be use and available in California, US?Thank you","Incorporation, Bankruptcy, Debt, Bankruptcy and debt, Real estate and bankruptcy, Real estate, Estates, Estate property, Power of attorney, Taxes and estate planning, Tax law, Show 8 moreShow 8 less",,Possibly.  POA executed in UK may be valid in CA if it is valid and enforceable under UK or CA law.Review the POA with CA counsel to assess validity.,90503-ca-james-shields-312867.html,False
I have an EIDL SBA loan and want to get married. Is my future husband responsible for the loan if I I cannot pay or die?,https://www.avvo.com/legal-answers/i-have-an-eidl-sba-loan-and-want-to-get-married-is-6140160.html,"Asked in Marina Del Rey, CA | Dec 3, 2024",I want to get married but have an outstanding EiDL SBA loan. Can I get married without my future husband having any responsibility for repayment if I default or die,"Bankruptcy, Debt, Bankruptcy and debt",,"In the absence of a prenuptial agreement, your future husband would not be personally liable for your SBA loan. However, all community property that you and he might accumulate as a married couple, as well as your post-marital earnings, would be subject to execution to satisfy the debt if you defaulted and the matter resulted in litigation. This could include garnishment of both of your wages.If you enter into a prenuptial agreement, you can elect not to be governed by the provisions of the California Family Code, thereby preserving your assets and income as your separate property. Under such an agreement, your husband’s post-marital earnings and accumulations would remain his separate property and could not be applied to pay your debts.It is important to make the decision to enter into a prenuptial agreement before marriage. California case law holds that entering into such an agreement after marriage is not a valid method to protect the assets and earnings of the non-debtor spouse.",92612-ca-richard-heston-269220.html,False
What Can I do?,https://www.avvo.com/legal-answers/what-can-i-do--6137695.html,"Asked in Highland, CA | Nov 28, 2024",As apart of my settlement I was offered school voucher of $6000. I signed up with the school over a year ago and it has still not gotten paid for. I reach out to them and every time they give me the response that the person in charge of payment can not be gotten a hold of. I am limited to the kind of work I can do because of the injury to my back and this was supposed to help with my career change. I feel I should be compensated for them not holding to their end of the bargain.,"Bankruptcy, Debt, Bankruptcy and debt",,"It sure would have helped the volunteer lawyers direct your question to the correct forum if you had specified what type of settlement you received. For example, was your settlement issued due to a divorce, a personal injury claim, workers' compensation benefits, or resolving a probate?Your question is now in the bankruptcy forum, where I am confident it doesn't belong. Hope this perspective helps!",89104-nv-dorothy-bunce-2805621.html,False
I filed a writ of execution and my landlord filed bankruptcy within a few days. Her lawyer said I was in violation.,https://www.avvo.com/legal-answers/i-filed-a-writ-of-execution-and-my-landlord-filed--6136647.html,"Asked in Palm Desert, CA | Nov 26, 2024","Her attorney stated I was harassing her by sending the writ. I live out of state and it takes approximately 6 days for mail to get to the state in which she lives. Her lawyer stated I needed to revoke the writ immediately. When I received the Chapter 7 Bankruptcy. I called the small claims court, but it had already been filed. If I revoke the writ of execution, will that be stating I have received the money I'm owed and I will no longer be on the list of people she would need to pay back ?She has filed in California and I live in Minnesota, so I'm looking for a CA lawyer's advice.Thank you for your time","Bankruptcy, Chapter 13 bankruptcy, Chapter 13 bankruptcy reorganization plan",,"File a creditor's claim against the debtor's case.  I don't think you need to recall the writ, but don't execute it until his bogus bankruptcy is dismissed.",92506-ca-gary-ilmanen-41947.html,False
